Tigrigna,English,file_name
"ሀንዛ","thin/thick home made cornbread"
"ነገር","matter, substance"
"ነገር ንዋት","supplies, equipment"
"ነገፈ","scrub"
"ነጋዳይ","merchant, trader"
"ነግሒ","groove"
"ነጎደ","thunder"
"ነጎዳ","thunder"
"ነጠረ","jump, leap"
"ነጠበ","drop -"
"ነጥቢ","grade, score"
"ነጥቢ ሓዘ","note, note down write down"
"ነጸብራቕ","reflection"
"ነጸገ","refuse, decline, reject"
"ነጻ","free, independent"
"ነጻነት","independence"
"ነጽነጸ","shake"
"ነፈረ","fly away, take off"
"ነፈሰ","blow"
"ነፋሪት","airplane"
"ነፍሐ","blow up"
"ነፍሲ","soul, feeling"
"ናሕሲ","roof"
"ናሕሲ ዝሰርሕ","carpenter"
"ናበየ","maintain"
"ናእዳ","praise"
"ናይ","of"
"ናይ ሕርሻ ገዛ","farm"
"ናይ ሕጻን","infantile"
"ናይ መሃምራን","choral"
"ናይ መዘጋጃ ቤተ","municipal"
"ናይ ስራሕ ክእለት","profession"
"ናይ ቀውዒ","autumnal"
"ናይ ባሕሪ","maritime"
"ናይ ንጉሆ","morning, early"
"ናይ ክረምቲ","wintry"
"ናጽላ","new-born"
"ንህቢ","bee"
"ንሓንሳብ","sometimes"
"ንስሪ","eagle, genius"
"ንቑጽ","dry, dried"
"ንቕሓት","consciousness conscience"
"ንቕድሚት ኣምረሐ","proceed"
"ንባብ","reading"
"ንብሕቶ","alone"
"ንብዓት","teardrop, tears"
"ንእስነት","youth, boyhood girlhood"
"ንእሽተይ","small, little, minor"
"ንእሽተይ ሰልዳ","plaque"
"ንእሽቶ","tiny, small, minor"
"ንእሽቶ ቀላይ","pond, pool"
"ንዋት","equipment"
"ንዕቀት","contempt, scorn"
"ንድፊ","sketch, outline, plane level, sphere"
"ንድፋዊ ምስሊ","model , pattern"
"ንጉሆ","morning"
"ንጉሳዊ","royal, kingly"
"ንጉስ","King"
"ንግስቲ","Queen"
"ንግስነት","empire, influence kingdom, realm"
"ንግደት","pilgrimage"
"ንግዲ","trade, commerce"
"ንግዳዊ","commercial"
"ንጡፍ","agile, nimble"
"ንጣብ","drop"
"ንጣብ ርስሓት","stain, spot, blot mark"
"ንጥፈት","activity"
"ንጹህ","acquit"
"ንጹር","clean"
"ንጻግ","breach, gap, notch"
"ንጽህ","innocent"
"ንጽህና","innocence"
"ንጽጎ ማይ","water spray"
"ንፉዕ","clever"
"ንፋስ","air, climate, weather wind"
"ንፋጥ","mucus"
"ንፍረት","flying, flight"
"ንፍዮ","measles"
"አማሓደርቲ","administrators"
"አማሓዳሪ","head-master principal, administrator"
"አማሓዳሪት","administrator"
"አጻብዕቲ ኢድ","fingers"
"አጻብዕቲ እግሪ","toes"
"ኡቴገ","empress"
"ኡንቺነቶ","knitting, knitwear"
"ኡንዱስትሪ","industrialist"
"ኡንዱስትሪያዋ","industrial"
"ኡንፍልወንዛ","flu"
"ኡዱ ሃበ","surrender"
"ኡድ","hand"
"ኡጣልያዊ","Italian"
"ኡፍ በለ","blow"
"ኡፎይታ","sigh"
"ኢድ","hand"
"ኣሃዝ","number"
"ኣሃዱ","common"
"ኣሃዱ ምድማጽ","syllable"
"ኣሃዳዊ","communal"
"ኣህደአ","calm, quiet down"
"ኣለለየ","distinguish, recognize"
"ኣለመ","knit, weave"
"ኣለቀሐ","lend, loan"
"ኣለዓዓለ","excite"
"ኣለየ","divert"
"ኣሉ በለ","deny"
"ኣላለየ","present, introduce"
"ኣላገበ","assemble, gather connect"
"ኣልመደ","get used to, get  accustom to"
"ኣልማዝ","diamond"
"ኣልበሰ","dress, clothe"
"ኣልዓለ","lift, raise"
"ኣልያሉ ገመተ","estimate, value appraise"
"ኣልገሰ","remove, take away"
"ኣልጫ","unspiced  beef/chicken/vegetables stew"
"ኣሐንቀቐ","cherish"
"ኣሐደሰ","renew"
"ኣሕለኽለኸ","complicate"
"ኣሕረረ","burn"
"ኣሕረቐ","irritate, annoy, offend offend against, take offence"
"ኣሕሸኹሸኸ","whisper"
"ኣሕጸረ","shorten, cut short"
"ኣመል","habit"
"ኣመልከተ","indicate, point"
"ኣመሓላለፈ","transmit, pass on"
"ኣመሓየሸ","improve"
"ኣመሓደረ","manage"
"ኣመርዓወ","marry off"
"ኣመሰገነ","appreciate, to"
"ኣመስለ","assert, affirm maintain, intend"
"ኣመስገነ","thank"
"ኣመስጋኒ","grateful"
"ኣመነ","trust, believe"
"ኣመዛዘነ","compare"
"ኣማኸረ","consult"
"ኣማኸርቲ","counsel, committee"
"ኣማኻሪ","adviser, councillor"
"ኣማኻሪት","councillor"
"ኣማዓራረየ","arrange"
"ኣማዕበለ","promote"
"ኣምለኸ","adore"
"ኣምሓደረ","administer, manage"
"ኣምረሐ","lead"
"ኣምበርከኸ","put down"
"ኣምቡላንስ","ambulance"
"ኣምጸአ","bring"
"ኣምፑል","bulb"
"ኣሞ","aunt (father's side)"
"ኣሞራ","vulture"
"ኣሞገሰ","appreciate"
"ኣረመና","brutal, fierce, harsh"
"ኣረማዊ","pagan, heathen"
"ኣረማውነት","paganism"
"ኣረነ","snail"
"ኣረከበ","deliver"
"ኣረየ","gather, pick"
"ኣረድአ","expect, explain"
"ኣረገ","age, grow old"
"ኣረጊት","old, aged"
"ኣረጋገጸ","prove, ensure, assert confirm"
"ኣራንሺ","orange"
"ኣራንቺ","orange"
"ኣራዊት","wild beasts"
"ኣራገፈ","unload"
"ኣርሓ","bull"
"ኣርማድዮ ክሽነ","cupboard poster"
"ኣርሰሐ","multiply, favour flatter, soil, sully"
"ኣርባዓ","forty"
"ኣርባዕተ","four"
"ኣርተሪ","artery"
"ኣርኣየ","display, demonstrate show, indicate, point out"
"ኣርኣየ","show"
"ኣርእስቲ","title, topic"
"ኣርከበ","rejoin-reach, meet"
"ኣርከአ","appease, calm, soothe"
"ኣሰላፊ","waiter"
"ኣሰላፊት","waitress"
"ኣሰረ","strap, brace, tie, arrest fasten"
"ኣሰራርዓ","decoration"
"ኣሰር","trace, track"
"ኣሰር ኣውጸአ","trace, draw"
"ኣሰቅሐ","lend"
"ኣሰነበተ","dismiss"
"ኣሰነየ","accompany"
"ኣሰናበተ","dismiss, discharge"
"ኣሰናይ","company"
"ኣሰንበደ","scare"
"ኣሰንባዲ","horrible"
"ኣሰፍሐ","expand"
"ኣስሓቐ","amuse, entertain"
"ኣስሓይታ","frost"
"ኣስመረ","unite or combine"
"ኣስረሐ","employ, use, spend"
"ኣስራሒ","boss, head proprietor, protector"
"ኣስራሒት","boss, head proprietor, protector"
"ኣስሬን","skeleton"
"ኣስባስላ","brush"
"ኣስተንፈሰ","birth"
"ኣስተዋጽኦ ፍልጠት","science"
"ኣስተውዓሊ","genius, intelligent"
"ኣስተውዕል","attention"
"ኣስተውዕሎ","intelligence"
"ኣስታረረ","come back"
"ኣስካላ","ladder"
"ኣስዓበ","provoke, follow"
"ኣሻኹ","thorny, prickly"
"ኣሽባሸ","grocery"
"ኣቀማምጣ","situation, location position"
"ኣቀራርጻ","formation"
"ኣቀባብላ","reception, welcome"
"ኣቃለለ","simplify"
"ኣቃድዳ","cup, section"
"ኣቅጣጫ","direction"
"ኣቋረጸ","stop, end, interrupt break"
"ኣቋራርጻ","cup, section"
"ኣቋናጸበ","humiliate"
"ኣቐመጠ","set, place, put, lay"
"ኣቐበለ","hand"
"ኣቐበለ","hand off, go, pass by"
"ኣቐየመ","offend"
"ኣቐዲምካ ዝግበር","early, in advance, anticipated"
"ኣቑሑ ህንጻ","material"
"ኣቑሑ መግቢ","dishes"
"ኣቑሑ ጉዕዞ","luggage, baggage"
"ኣቑሰለ","injure, wound, hurt offend"
"ኣቕለለ","facilitate"
"ኣቕሓ","thing, matter merchandise, goods, article, item"
"ኣቕሓ ገዛ","furniture"
"ኣቕረበ","offer, display"
"ኣቕነዐ","set up again, set right"
"ኣቖመ","appoint, set up"
"ኣቘመ","stop"
"ኣበርከተ","contribute"
"ኣበደመ","deforest"
"ኣቡን","bishop, cardinal"
"ኣባ","abbot, priest"
"ኣባ ሕጎ","grandfather"
"ኣባሊገ","godfather, godmother"
"ኣባላሸወ","spoil, damage, ruin"
"ኣባላት ቤት ማሕተም","drafting editing"
"ኣባል","member, limb"
"ኣባኸነ","waste"
"ኣባጻጽሒ","delivery man"
"ኣብ","at"
"ኣብ ልዕሊ","above, on top"
"ኣብ ሕሉፍ እዋናት","formerly another time"
"ኣብ መዳእታ","finally, at last"
"ኣብ ትሕቲ","below underneath"
"ኣብ ኣገልግሎት ወዓለ","walk, go step"
"ኣብ ኩኡ ቦታ","everywhere"
"ኣብ ካልእ ቦታ","elsewhere"
"ኣብ ግብሪ ኣውዓለ","execute perform, carry out"
"ኣብ ጨጎራ","caterpillar"
"ኣብልዐ","feed"
"ኣብረሀ","light, illuminate"
"ኣብርከተ","contribute"
"ኣብሰለ","cook"
"ኣብቲ","there"
"ኣብታዊ","paternal, fatherly"
"ኣብነት","example"
"ኣብኡ","there"
"ኣብዓለ","celebrate"
"ኣብዓጠ","knead"
"ኣብዚ","here"
"ኣብዚ ቀረባ እዋን","recently"
"ኣብዚ ግዜ ዚ","currently"
"ኣብየ","refuse"
"ኣብጽሐ","deliver"
"ኣቦ","father"
"ኣቦ መንበር","president"
"ኣቦሓጎ","grand father"
"ኣተሓኻኸማ","dressing, bandage"
"ኣተባብዐ","encourage, cheer up"
"ኣተንፈሰ","breathe"
"ኣተኣማመነ","reassure"
"ኣተኻኸለ","correct, put right"
"ኣተወ","come in, enter"
"ኣታለለ","cheat"
"ኣትሓተ","lower, reduce"
"ኣትሞመ","put out of shape deform"
"ኣትከለ","set up"
"ኣትከኸ","smoke"
"ኣትክልታዊ","plant, vegetable"
"ኣቶ","Mister"
"ኣቸቶ","vinegar"
"ኣቻዮ","steel"
"ኣነ","me, I"
"ኣነጻጸረ","compare"
"ኣናሸወ","humiliate, humble"
"ኣናውሐ","extend"
"ኣናደየ","seek"
"ኣናፈሰ","air, give an airing"
"ኣንሰሓበ","withdraw, draw, step back"
"ኣንሳፈፈ","float"
"ኣንስተይቲ","female"
"ኣንስታይ","feminine"
"ኣንሶላ","sheet"
"ኣንሻተተ","skate, slip, slide"
"ኣንቀሳቀሰ","move"
"ኣንቀጥቀጠ","shiver, tremble shake"
"ኣንቀጸ","dry, wipe"
"ኣንቅሳቐሰ","move"
"ኣንቋቝሖ","eggs"
"ኣንበልበለ","wave"
"ኣንበረ","place, put, set, seat"
"ኣንበሲት","lioness"
"ኣንበሳ","lion"
"ኣንበበ","read"
"ኣንበጣ","locust"
"ኣንባቢ","reader"
"ኣንባቢት","reader"
"ኣንአሀ","purify"
"ኣንኣሰ","decrease"
"ኣንኮለ","make a hole"
"ኣንወሐ","lengthen, extend"
"ኣንደደ","burn"
"ኣንጎሎ","corner"
"ኣንጠልጠለ","hang on, hang up"
"ኣንጠረኛ","smith"
"ኣንጨብጨበ","applaud, clap"
"ኣንጭዋ","rat, mouse"
"ኣንጸባረቐ","shine, glisten sparkle, gleam"
"ኣንጸባረቒ","shining bright"
"ኣንጻር","opposite, contrary"
"ኣንፈት","direction, sense"
"ኣንፈት ስራሕ","conduct behaviour"
"ኣንፈጥፈጠ","shudder"
"ኣአንጋዲ","hospitable"
"ኣኣንገደ","treat"
"ኣእመነ","persuade, convince prove"
"ኣእምሮኣዊ","intellectual"
"ኣእረገ","use up"
"ኣከበ","combine, gather, collect"
"ኣከባቢ","district, surroundings"
"ኣካላት","body"
"ኣካል","body"
"ኣካረየ","rent"
"ኣካየደ","last"
"ኣካፈለ","share"
"ኣኮ","uncle (mother's side)"
"ኣኮማሰዐ","ruminate"
"ኣኸለ","be enough, be sufficient suffice"
"ኣኸበረ","respect"
"ኣኸበበ","surround"
"ኣኺሉ ዝተርፍ","abounding"
"ኣኻዲት መኪና","thresher"
"ኣኼባ","seat, sitting, conference lecture, meeting, bringing  together, collection, gathering reunion"
"ኣኽሊል","crown, wreath"
"ኣኽበረ","honour, respect"
"ኣኽበበ","round, surround encircle, enable"
"ኣኽባሪ","respectful"
"ኣኽባር ሕጊ","Prosecutor"
"ኣወጀ","declare, proclaim announce"
"ኣዋዲ","creditor"
"ኣዋጅ","declaration, statement"
"ኣውሊዕ","olive tree"
"ኣውራጃ","provinces"
"ኣውታረ ድምጺ","agreement harmony"
"ኣውቶማቲክ","automatic"
"ኣውቶቡስ","bus"
"ኣውዓየ","heat, warm, heat"
"ኣውጸአ","extract, pull"
"ኣውጸአ ዋጋ","cost"
"ኣውጽአ","issue"
"ኣዐረየ","mend, repair, fix correct, put right"
"ኣዐገበ","satisfy"
"ኣዕለለ","gossip, chatter, talk"
"ኣዕረፈ","rest, retire"
"ኣዕበየ","make bigger, increase enlarge"
"ኣዕነወ","wreck, destroy"
"ኣዕዋፍ ዘቤት","poultry"
"ኣዕዘምዘመ","murmur, whisper babble, growl"
"ኣዕጠቐ","arm"
"ኣዘናገዐ","amuse, entertain cheer up"
"ኣዘንተወ","tell"
"ኣዘከረ","remind"
"ኣዘውተረ","frequent"
"ኣዘዘ","organize, arrange, put in order, command, order"
"ኣዛዘወ","favour, promote"
"ኣዝኒ","ear"
"ኣየር","air"
"ኣያት","springtime"
"ኣይሂ","torrent"
"ኣይሮኘላን","airplane"
"ኣይቢ ዓይነት ሓረግ","ivy"
"ኣደ","mother"
"ኣደ ዓባይ","grandmother"
"ኣደቀሰ","send to sleep"
"ኣደባባይ","place, position, space"
"ኣደብ","conduct"
"ኣደታዊ","maternal, mother"
"ኣደነቐ","impress, amaze"
"ኣደናቒ","amazed, adorable"
"ኣደናቒት","adorable"
"ኣደናገረ","confuse, mix up"
"ኣደንጎየ","delay, defer"
"ኣደፋፈረ","encourage"
"ኣዳለወ","arrange, organize prepare"
"ኣዳራሽ","castle, palace, gallery room"
"ኣዳቐለ","graft"
"ኣድሃቢ","attentive"
"ኣድህብ","attention"
"ኣድለየ","require"
"ኣድላይ","necessary"
"ኣድላይነት","necessity importance, need"
"ኣድሓነ","save, rescue"
"ኣድመቐ","emboss, batter"
"ኣድመጸ","listen to, vote, vote for, pronounce, pass"
"ኣድማሳዊ","universal"
"ኣድራሻ","address, skill, dexterity"
"ኣድነቐ","admire"
"ኣድናቒ","sensational"
"ኣድንቖት","admiration"
"ኣድከመ","weaken, tire, exhaust"
"ኣድጊ","donkey"
"ኣጁቦ","similar to cottage  cheese"
"ኣጃ","rye"
"ኣገልገለ","use, serve, function work"
"ኣገልጋሊ","servant, serf"
"ኣገልጋሊት","servant"
"ኣገረሀ","surprise, astonish"
"ኣገረመ","astonish, amaze"
"ኣገራሚ","amazed, appalling"
"ኣገባብ","style, manner"
"ኣገባብ ኣዘራርባ","accent, stress tone"
"ኣገደ","prohibit, forbid"
"ኣገደሰ","concern, matter"
"ኣገደደ","oblige"
"ኣገዳሲ","important considerable, interesting"
"ኣጉረምረመ","grumble"
"ኣጉደለ","take away"
"ኣጉዶ","hut"
"ኣጋር","pedestrian"
"ኣጋነነ","exaggerate"
"ኣጋጣሚ","opportunity, occasion"
"ኣግሃደ","show, manifest"
"ኣግበረ","cause"
"ኣግዓዘ","evacuate, transport"
"ኣግፈሐ","widen"
"ኣጎስማ","niece"
"ኣጓየየ","chase"
"ኣጕደለ","reduce"
"ኣጠንቀቐ","warn"
"ኣጣመረ","combine"
"ኣጣቓዒት","applauder"
"ኣጣቓዓይ","applauder"
"ኣጣበቐ","stick"
"ኣጥለለ","wet, soak, water"
"ኣጥለቕለቐ","inundate, flood swamp"
"ኣጥረየ","own, possess"
"ኣጥቅዐ","attack"
"ኣጥበቐ","fasten"
"ኣጥፈአ","put out, suppress abolish, stop"
"ኣጥፍአ","lose"
"ኣጨብጨበ","acclaim, hail applaud, cheer"
"ኣጨነቐ","clutter-(up), bother put in an awkward position"
"ኣጨናቒ","hard, difficult"
"ኣጸረየ","verify, confirm"
"ኣጸናንዐ","comfort, fortify"
"ኣጸወዐ","summon to law"
"ኣጸደ ፍረታት","orchard"
"ኣጻብዕ","finger"
"ኣጻብዕ እግሪ","toe"
"ኣጻዕቲ እግሪ","toe"
"ኣጽረየ","clean, clear, clear away"
"ኣጽንዐ","study, investigate"
"ኣጽዋር","munitions"
"ኣጽደቐ","approve of, consent to confirm"
"ኣጽፈሐ","flatten, crush, level smooth away"
"ኣፈ ታሪኽ","legend"
"ኣፈራርሀ","threaten"
"ኣፋኾሰ","relieve"
"ኣፍ","mouth"
"ኣፍ ልቢ","chest"
"ኣፍ ዑት","viper"
"ኣፍለጠ","inform, advise announce, foretell, warn, notify"
"ኣፍልቢ","chest, breast"
"ኣፍረሐ","scare, terrify"
"ኣፍረየ","produce"
"ኣፍራሒ","frightening, appalling"
"ኣፍራሰ","demolish"
"ኣፍራዛ","pick-axe"
"ኣፍቀረ","love"
"ኣፍቀደ","permit, allow, make  possible, authorize, grant"
"ኣፍን ኣፍንጫን እንስሳ","muzzle snout"
"ኣፍንጫ","nose, snout"
"ኤለትሪካዊ","electrical"
"ኤለትሪክ","electricity"
"እላም","stitch, link"
"እሙን","fair, sincere, faithful true, exact"
"እምቢ","no"
"እምቢታ","refusal"
"እምባ","mountain"
"እምነ በረድ","marble"
"እምነት","worship, religion belief, faith, conviction, trust"
"እምነት ለወጠ","convert oneself"
"እምነት ኣለወጠ","convert"
"እምኒ","stone"
"እርያ ወይኒ","wine-harvest"
"እርያ ፍረታት","picking gathering"
"እርጋን","old age, old people"
"እስታዲዩም","stadium"
"እስትራረ","ironing"
"እስካፋለ","shelves"
"እሾኽ","thorn, prickle"
"እሾኽ ገረብ","branch"
"እተባህለ","dictation"
"እቶት","receipts, income production, product"
"እቶን","oven, chimney"
"እንስሳ","animal, beast"
"እንስሳ ዘቤት","domestic, menial"
"እንቁሮያብ","frog"
"እንቋቑሖ","egg"
"እንቋቑሖ ወለደት","lay eggs"
"እንቋዕ ሓጎሰካ በለ","congratulate"
"እንተዘይኮነ","otherwise"
"እንታይ","what"
"እንኮ","alone, only"
"እንደና ረኸበ","recover, regain"
"እንደገና","once again"
"እንደገና ሓዘ","catch again"
"እንደገና መጸ","return, come back"
"እንደገና ተንሰአ","get up, rise"
"እንደገና ኣንበበ","read again, read over"
"እንደገና ወረደ","come down  again"
"እንደገና ወደቐ","fall again"
"እንደገና ደየበ","reclimb"
"እንደገና ጀመረ","restart"
"እንዳ ስጋ ሓሰማ","butcher's shop"
"እንዳ ባኒ","baker's shop"
"እንዳ ኣባጊዕ","sheep pen"
"እንዳ ኣፍራስ","stable"
"እንዳ ደወል","church tower steeple"
"እንዳ ዶልሺ","pastry, pastry  shop"
"እንዳ ገንዘብ","portfolio, wallet"
"እንዳ ጸባ","dairy, creamery"
"እንግሊዘኛ","English"
"እንግሊዛዊ","English"
"እከይ","nasty, mean, bad"
"እኩብ","mass"
"እኩብ መጻሕፍቲ","collection of  books, compendium"
"እኩብ ገንዘብ","fund, money"
"እኩይነት","nastiness, meanness malice"
"እካበ","collection"
"እኹል","sufficient, enough"
"እኹል ተረፍ","abundance"
"እኽሊ","cereal, grain"
"እኽሊ ኣኸበ","harvest, reap"
"እወ","yes"
"እዋናዊ","actuality"
"እዋን","period, epoch, period of time"
"እዙዝ","obedient"
"እዚ","order"
"እዚኣቶም","those"
"እዝኒ","ear"
"እዩ","be-(descriptive)"
"እጃም","part, role"
"እጅገ","handle"
"እገዳ","deprivation"
"እግሪ","foot"
"እግዚኣብሄር","God"
"እጹብ","splendid, magnificent"
"ኦም","forest, tree"
"ኦርጋን","organ"
"ኦክ","oak"
"ኦፐራ","opera"
"ከልቢ","dog"
"ከመይ","how"
"ከመይ ሓዲርኩም","hello, good  morning"
"ከመይ ኣምሲኩም","good evening"
"ከመይ ዊዕልኩም","hello, good  morning"
"ከም","like, similar"
"ከምኡውን","equally, as well too"
"ከምከመ","cut out"
"ከረጺት","bag"
"ከርፋሕ","miserable, wretched destitute"
"ከሰል","coal"
"ከሰሰ","pursue, accuse"
"ከሰስቲ","accuser"
"ከሳሲ","accuser"
"ከሳሲት","accuser"
"ከስዐ","stomach"
"ከሸነ","cook"
"ከሻኒ","cook"
"ከሻኒት","cook"
"ከቢብ","round"
"ከቢድ","heavy"
"ከባቢ","region"
"ከብሒ","cupboard"
"ከብከብ በለ","run around"
"ከብዲ","belly, stomach, liver digestive system"
"ከብዲ ሳእኒ","sole"
"ከብዲ ኢድ","palm"
"ከብዲ እግሪ","sole of the foot"
"ከተማ","town"
"ከተማዊ","urban"
"ከኒሻ","protestant"
"ከኒሻነት","Protestantism"
"ከኒና","pill"
"ከንቲባ","mayor"
"ከንፈር","lip"
"ከውሒ","rock"
"ከውሓዊ","rocky"
"ከዓወ","pour"
"ከዘነ","stock"
"ከደ","walk, leave, go, travel"
"ከደነ","cover"
"ከዳሚ","servant"
"ከዳሚት","servant"
"ከድዐ","deceive, betray"
"ከፈለ","pay"
"ከፈተ","open"
"ከፈአ","pay"
"ከፋት","open"
"ከፍሊ ገዛ","part of a house"
"ኩሉ","all, any"
"ኩሉ ግዜ","always"
"ኩሊት","kidney"
"ኩላሊት","kidney"
"ኩምራ","clutter, heap, pile"
"ኩሩኹሮ","heels"
"ኩሩዕ","trust, proud"
"ኩራ","anger"
"ኩርማጅጅ","whip"
"ኩርሲ","armchair"
"ኩርሽ","chalk"
"ኩርባ","hill"
"ኩርናዕ","corner, angle"
"ኩርናዕ ኢድ","elbow"
"ኩርናዕ እግሪ","ankle"
"ኩርፍፍቲ","angry"
"ኩስቱባን","thimble"
"ኩስኩስ","cultivated"
"ኩባያ","cup"
"ኩብለላ","wandering"
"ኩቦ","cube"
"ኩትልኽና","Catholicism"
"ኩነታት","condition, situation"
"ኩነት","circumstance"
"ኩነት ኣእምር","mood"
"ኩነና","condemnation"
"ኩናት","war"
"ኩንታል","hundred kilos"
"ኩእሶ እግሪ","soccer, football"
"ኩኽ","peach"
"ኩዕሶ","ball"
"ኩጽሪ","math"
"ኪሎሜተር","kilometre"
"ኪሎግራም","kilogram"
"ኪኢላ","capable"
"ኪኸፍል","pay off"
"ኪዳን","alliance"
"ካህን","ecclesiastical"
"ካልሲ","sock"
"ካልሲ ነዊሕ","bottom"
"ካልኣዊ","secondary"
"ካልኣይ","companion"
"ካልኣይ ኢድ","worn"
"ካልኣይ ክፍሊ","second grade"
"ካልኣይ ደረጃ","high school secondary school"
"ካሚሻ","shirt, blouse"
"ካምፑትር","computer"
"ካራ","knife"
"ካራመለ","candy"
"ካርታ","card, map"
"ካርቶሊና","post card"
"ካርቶን","cardboard"
"ካሮሳ","cart"
"ካሮት","carrot"
"ካሳ","piggy bank"
"ካሻስትሩስ","concrete"
"ካቦት","coat"
"ካቲም","ring"
"ካካው","cocoa"
"ካዉሎ ካፑቺ","cabbage"
"ካውሎ","cabbage, green  cabbage"
"ካውሎ ፊየሪ","cauliflower"
"ካውሎ ፍዮሪ","cauliflower"
"ካፋ","shower"
"ካፒታኖ","captain"
"ኬሚስትራ","chemistry"
"ክሊማ","climate"
"ክሊኒክ","clinic"
"ክላሲካዊ","classical"
"ክልስ ሓሳብ","theory"
"ክልተ","two"
"ክረምቲ","winter"
"ክራባታ","necktie"
"ክራይ","rent"
"ክርስትና","Christianity"
"ክርስትያን","Christian"
"ክርቢት","match"
"ክሲ","accusation, prosecution"
"ክሳብ","as far as, up to until"
"ክሳብ ክንድቲ","so, so much"
"ክሳብ ክንድኡ","as much, many"
"ክሳድ","neck"
"ክሳድ ጎቦ","collar"
"ክስራን","loss, ruin"
"ክሽነ","cooking, kitchen"
"ክቡር","honourable, precious dear, expensive, costly"
"ክቢ","circle, round"
"ክብ ኣበለ","put up, erect, pitch"
"ክብረት","respect"
"ክብሪ ዘለዎ","be worth, cost"
"ክታም","signature"
"ክታቤት","vaccine"
"ክትዐ","discussion"
"ክንተባ","town hall"
"ክንቲት","feather"
"ክንከን","care"
"ክንደይ","amount"
"ክንፊ ዓሳ","fin"
"ክኢላ","skilful"
"ክኣል","affordable"
"ክእለታዊ","able"
"ክእለት","talent, skill, ability"
"ክውንነት","reality"
"ክዳን","clothes, suit, garment"
"ክፋት","opening"
"ክፍለ ዓመት","season"
"ክፍለ ዘመን","century"
"ክፍሊ","cabin, section, room class"
"ክፍሊ መጥባሕቲ","operating  room"
"ክፍሊ መጸበዩ","waiting room"
"ክፍሊ ስራሕ","workshop"
"ክፍሊ ተለፎን","phone booth"
"ክፍሊ ገበን","security, safety"
"ኮላ","glue"
"ኮመዲ","comedy"
"ኮመዲኖ","nightstand"
"ኮሚተ","committee"
"ኮሚደረ","tomato"
"ኮሚደሮ","tomato"
"ኮማንደር","commanding officer"
"ኮሞ","chest of drawers"
"ኮረየ","get annoyed"
"ኮረደዮ","corridor, passage"
"ኮርመጀ","whip, flog"
"ኮርስ","course"
"ኮርዳድ ጸጉሪ","curly"
"ኮሮነል","colonel"
"ኮስኮሰ","cultivate"
"ኮብላሊ","hobo, bum, homeless wanderer"
"ኮቦርታ","cover, blanket"
"ኮቦሮ","drum"
"ኮቦሮ ኦርከስትራ","battery"
"ኮቦሮ ዓይኒ","eyelid"
"ኮተሊኽ","Catholic"
"ኮነ","turn up, produce, happen become"
"ኮነነ","sentence, give up condemn"
"ኮድ","code"
"ኮፍ","sit"
"ኮፍ መበሊ","seat"
"ኮፍ በለ","sit down"
"ኰነ","become, happen, occur"
"ኰዓተ","dig"
"ኳሌታ","neck, collar"
"ኳኽ","crow"
"ኳዓተ","hollow out, dig"
"ኳዓታይ","grave-digger"
"ኾራዪ","angry"
"ኾራይት","angry"
"ኾርፋፍ","angry"
"ወለዐ","light up, switch on"
"ወለዲ","parent, relative"
"ወለድ","interest"
"ወለዶ","ancestor"
"ወልወለ","polish, wax, rub"
"ወሓዘ","run, flow"
"ወሓጠ","swallow, devour"
"ወረ","news, information inquiry"
"ወረረ","invade, overcome overwhelm, conquer"
"ወረቐት","paper"
"ወረበ","compose"
"ወረደ","descend"
"ወረጃ","polite"
"ወርሒ","month"
"ወርሓዊ","monthly"
"ወርቂ","gold"
"ወሰነ","decide, limit, fix"
"ወሰን","border, edging"
"ወሰን ባሕሪ","coast, chop"
"ወሰን ወሰን","edge"
"ወሰን ዘአይብሉ","infinite infinity"
"ወሰአነ","define"
"ወሰኸ","increase, rise, add"
"ወሰደ","take away, take"
"ወስታ","gesture"
"ወሽመጥ","channel"
"ወቐሰ","reproach, accuse"
"ወቕሳ","reproach"
"ወቕዐ","hit, strike"
"ወተሃበራዊ","military"
"ወተሃደር","soldier, police"
"ወተፈ","block"
"ወነነ","to have, possess"
"ወኒነ ትካል","enterprise"
"ወናኒ","owner, landlord"
"ወከለ","represent"
"ወከል","advocate"
"ወከልቲ","advocator"
"ወከሰ","accusation"
"ወከስቲ","accuser"
"ወኪል","representative"
"ወኪል ህዝቢ","deputy, Member of Parliament"
"ወካሊ","advocator"
"ወካሊት","advocator"
"ወካሲ","accuser"
"ወካሲት","accuser"
"ወኻርያ","fox"
"ወዝ","appearance, look"
"ወይኒ","grape"
"ወይኒ ኣረየ","bring in the grape harvest"
"ወይዘሪት","miss"
"ወይዘሮ","madam"
"ወደቐ","drop, fall"
"ወደብ","port"
"ወደአ","finish"
"ወዲ","boy, son"
"ወዲ ሰብ","humane, human"
"ወዲ ብልግና","godson"
"ወዲ ንጉስ","prince"
"ወዲ ክፍሊ","classmate (male)"
"ወዲ ወዲ","grandson"
"ወዲ ዓዲ","compatriot"
"ወዲ ገጠር","country"
"ወዲ ጓል","grandson"
"ወዲቐ","failed"
"ወድአ","conclude"
"ወገን","flank"
"ወገዘ","sentence, condemn"
"ወገደ","ban, forbid, abolish, get rid of, avoid"
"ወጋሕታ","dawn"
"ወግአ","sting, prick"
"ወግዓዊ","official"
"ወጔሳ","surgeon"
